alim_code	kcal	protein	glucid	lipid
18905	42.6	0.5	7.8	1.1
18906	68.9	0.5	13.5	1.4
18907	31.4	0.5	2.75	2.1
29209	56.2	2.3	9.5	1.0
18004	6.88	0.5	1.35	0.018
18020	0.063	0.0	0.0	0.007
18022	0.87	0.0	0.2	0.008
18070	4.42	0.1	0.6	0.18
18071	7.64	0.5	1.16	0.2
18072	2.1	0.12	0.4	0.002
18073	1.64	0.1	0.3	0.004
18104	69.3	3.78	9.5	1.42
18106	71.9	4.08	9.91	1.71
18151	21.5	1.36	2.31	0.76
18153	53.7	3.66	5.9	1.62
18154	1.26	0.0	0.3	0.007
18155	5.1	0.0	1.09	0.0
18162	28.7	0.56	6.06	0.3
18003	397.0	14.4	40.2	15.4
18005	296.0	19.4	42.6	1.1
18017	255.0	0.5	62.6	0.5
18059	21.7	0.5	2.76	0.5
18069	357.0	12.7	76.0	0.2
18076	232.0	19.4	6.3	2.0
18100	387.0	22.4	11.6	20.6
18101	379.0	6.65	75.6	3.29
18150	332.0	9.3	66.9	0.35
18152	323.0	3.3	57.2	2.5
18160	416.0	11.9	70.1	8.8
18163	402.0	11.0	67.1	9.13
18167	376.0	4.68	79.3	3.04
18168	386.0	4.29	85.0	2.04
18220	19.7	0.5	1.31	0.0
5214	82.1	0.07	2.63	0.0
5007	37.5	0.5	5.09	0.6
5009	34.6	0.5	0.43	0.6
5021	48.0	0.5	4.4	0.6
5022	35.4	0.5	5.34	0.6
5030	25.3	0.31	4.89	0.05
1000	274.0	0.0	2.86	0.0
1001	229.0	0.0	0.37	0.0
1002	265.0	0.0	0.0	0.0
1003	328.0	0.1	39.6	0.3
1004	256.0	0.0	0.0	0.0
1005	252.0	0.0	0.096	0.0
1008	242.0	0.0	0.0	0.0
1010	27.6	0.0	6.89	0.0
1014	660.0	0.0	0.0	0.0
1015	211.0	0.1	27.9	0.0
1016	153.0	0.0	12.4	0.0
1021	245.0	0.0	41.0	0.0
1023	228.0	0.0	1.0	0.0
1026	133.0	0.0	5.0	0.0
5004	36.2	0.0	5.63	0.0
5005	25.4	0.48	4.93	0.05
11506	216.0	6.35	69.3	0.0
31000	523.0	6.14	60.5	28.1
31001	496.0	3.7	66.4	24.1
31002	475.0	3.88	60.2	23.8
31004	537.0	7.5	55.6	30.8
31012	551.0	8.75	50.9	34.2
31020	487.0	5.75	54.2	34.6
31030	525.0	8.48	34.1	42.3
31041	505.0	5.49	65.0	24.3
31042	499.0	9.5	55.9	25.0
31070	567.0	8.69	40.7	39.0
31071	494.0	7.23	57.6	26.0
31074	591.0	10.4	26.9	46.3
31098	532.0	5.8	60.5	29.0
31120	557.0	7.81	45.3	36.1
31007	372.0	0.5	90.6	0.32
31014	336.0	1.69	76.6	1.8
31023	324.0	0.94	79.5	0.5
31027	298.0	0.5	72.3	0.3
31054	228.0	0.69	78.1	0.45
31092	440.0	7.88	60.3	18.0
31121	279.0	0.53	82.5	0.41
30999	228.0	0.37	56.5	0.29
31006	249.0	0.29	60.2	0.31
31024	251.0	0.5	60.5	0.5
31037	247.0	0.5	59.7	0.3
31039	246.0	0.5	59.3	0.4
31068	246.0	0.5	58.9	0.4
31095	246.0	0.5	59.6	0.3
31110	162.0	0.75	38.0	0.3
7225	356.0	10.7	55.5	9.38
7600	380.0	8.02	49.1	16.2
7602	375.0	7.29	40.4	20.0
7615	412.0	6.94	47.6	21.1
7620	420.0	7.25	45.7	22.6
7650	446.0	8.36	35.9	29.1
7710	382.0	9.38	50.6	15.4
7711	359.0	8.94	52.2	12.3
7712	369.0	8.51	52.0	13.5
7720	333.0	5.6	55.9	9.0
7730	423.0	8.19	45.4	22.5
7733	425.0	7.56	46.8	22.3
7735	348.0	8.56	51.6	11.2
7737	351.0	7.47	53.2	11.6
7738	346.0	6.9	50.5	12.1
7739	300.0	6.22	49.2	8.41
7740	354.0	8.13	52.7	11.8
7741	401.0	11.3	46.0	19.1
7742	374.0	9.81	49.2	14.7
7744	355.0	7.2	53.3	12.3
7745	366.0	8.0	51.6	14.0
23467	381.0	7.76	42.6	18.6
23480	338.0	4.17	36.6	18.7
24041	445.0	7.44	67.7	15.7
24055	511.0	5.5	59.8	27.2
24056	514.0	9.31	50.7	28.7
24313	538.0	5.75	60.1	30.1
24615	471.0	7.8	68.0	18.1
24616	384.0	5.43	74.9	8.28
24678	341.0	4.44	74.4	2.1
32000	391.0	8.0	82.2	2.2
32001	408.0	8.13	70.4	8.9
32002	360.0	11.5	59.3	4.42
32003	398.0	7.81	75.3	6.08
32004	418.0	7.49	66.6	12.2
32005	377.0	7.4	83.2	0.87
32006	391.0	7.0	87.0	1.5
32008	386.0	11.5	64.0	6.75
32009	388.0	9.04	77.7	3.24
32011	388.0	8.48	80.1	2.64
32012	388.0	6.31	84.2	2.2
32013	386.0	7.73	79.6	2.93
32014	380.0	8.14	82.8	1.05
32016	433.0	7.81	69.2	13.0
32017	442.0	7.33	67.2	14.8
32018	419.0	8.42	64.7	13.3
32021	382.0	11.4	78.6	1.65
32022	394.0	7.5	73.9	5.9
32023	378.0	10.5	77.9	1.74
32025	394.0	9.77	75.5	4.93
32028	411.0	10.3	74.6	7.01
32029	378.0	10.5	78.7	1.4
32030	379.0	11.3	79.0	1.25
32031	401.0	7.51	75.0	6.77
32032	388.0	8.26	79.2	3.24
32107	379.0	4.4	88.0	0.6
32108	436.0	8.88	59.7	16.7
32109	442.0	8.57	63.2	16.7
32110	361.0	9.19	65.4	5.0
32111	460.0	5.67	68.4	17.3
32112	451.0	9.13	62.7	16.7
32113	400.0	10.7	61.6	11.0
32115	385.0	8.82	75.2	4.01
32116	338.0	14.0	49.0	3.5
32121	374.0	5.77	84.7	0.63
32123	386.0	10.3	67.9	6.3
32128	382.0	10.6	68.5	4.83
32129	393.0	5.71	86.2	2.35
32130	378.0	7.32	80.5	1.96
32131	390.0	6.22	83.2	2.82
32133	384.0	5.5	85.3	1.8
32134	385.0	7.95	76.8	3.85
32135	392.0	7.39	79.4	4.27
32138	369.0	9.5	61.7	6.9
32139	424.0	6.96	67.3	12.8
32140	370.0	11.7	58.0	7.7
32141	401.0	9.2	60.7	11.6
31100	382.0	7.06	79.5	3.2
31101	379.0	6.13	72.8	6.53
31102	418.0	5.99	72.9	10.9
31104	386.0	5.9	65.3	11.2
31106	451.0	6.55	73.0	14.9
31113	377.0	5.49	73.5	7.07
31114	444.0	8.69	60.6	18.2
19688	169.0	2.83	23.6	3.86
23032	458.0	5.94	50.6	25.4
